race/ethnicity,parental level of education,test preparation course,math score,reading score,writing score
group B,associate's degree,none,73,76,80
group B,bachelor's degree,completed,65,81,81
group C,associate's degree,completed,82,75,77
group C,bachelor's degree,completed,96,100,100
group A,some college,none,58,70,67
group D,master's degree,none,55,64,70
group D,associate's degree,completed,67,72,67
group D,master's degree,none,53,61,68
group C,some college,completed,93,84,90
group C,some high school,none,75,72,62
group D,some college,none,79,89,86
group B,high school,none,8,24,23
group B,associate's degree,completed,76,94,87
group D,high school,completed,56,68,74
group A,some college,none,28,23,19
group A,associate's degree,none,82,93,93
group B,some high school,completed,65,82,78
group D,some college,none,65,70,71
group C,bachelor's degree,completed,47,62,66
group D,some college,completed,68,78,77
group A,some high school,none,65,59,53
group C,some college,none,77,90,91
group B,some college,completed,60,62,60
group B,high school,none,30,24,15
group E,bachelor's degree,completed,70,68,72
group C,some college,completed,64,85,85
group B,high school,none,47,46,42
group D,high school,none,74,70,69
group C,master's degree,none,73,78,74
group B,some college,completed,48,56,58
group E,some high school,completed,78,83,80
group B,associate's degree,none,47,49,50
group B,high school,none,49,45,45
group C,bachelor's degree,none,63,75,81
group D,high school,none,49,57,52
group C,some college,none,84,87,91
group A,some high school,completed,85,90,92
group E,some college,none,62,73,70
group A,high school,none,48,45,41
group D,associate's degree,completed,73,75,80
group B,some high school,completed,63,78,79
group D,some college,none,70,63,58
group C,bachelor's degree,completed,63,64,66
group D,high school,completed,65,61,71
group C,associate's degree,completed,73,78,72
group E,some college,none,71,76,70
group A,bachelor's degree,none,59,72,70
group C,associate's degree,completed,74,75,83
group A,bachelor's degree,none,64,60,58
group D,some high school,completed,76,70,69
group C,bachelor's degree,none,67,69,75
group D,some college,none,72,57,58
group B,some high school,none,67,89,82
group D,associate's degree,completed,88,92,95
group B,associate's degree,none,49,52,54
group B,associate's degree,none,53,58,65
group C,some college,none,35,44,43
group A,some college,none,56,58,64
group E,high school,none,74,76,73
group D,some college,completed,67,86,83
group D,high school,completed,68,64,66
group A,high school,completed,53,50,60
group E,associate's degree,completed,77,69,68
group C,master's degree,completed,91,85,85
group E,associate's degree,completed,100,100,93
group E,some high school,completed,89,84,77
group C,some college,completed,87,89,94
group D,master's degree,completed,77,82,91
group C,bachelor's degree,none,69,63,61
group C,some high school,completed,56,61,60
group D,high school,none,69,77,73
group C,some college,none,71,81,80
group B,high school,none,87,95,86
group D,some high school,completed,61,74,72
group B,some high school,none,88,84,75
group B,associate's degree,none,40,48,50
group D,associate's degree,none,64,76,74
group C,some college,none,63,63,60
group D,associate's degree,none,72,79,74
group D,bachelor's degree,none,80,73,72
group C,associate's degree,none,74,73,67
group E,some college,completed,66,74,73
group D,some college,completed,59,78,76
group D,some high school,completed,66,78,78
group A,some high school,none,71,83,77
group C,associate's degree,none,46,58,57
group C,some college,none,60,72,74
group C,high school,completed,72,67,64
group E,bachelor's degree,completed,71,70,70
group C,some college,completed,75,81,84
group E,some college,none,76,78,80
group E,associate's degree,none,59,62,69
group C,associate's degree,completed,65,73,68
group D,some high school,completed,77,68,69
group C,some high school,none,49,63,56
group C,associate's degree,none,65,77,74
group C,high school,completed,58,52,54
group D,some college,none,61,47,56
group A,high school,none,68,70,66
group C,associate's degree,none,76,70,68
group E,high school,none,80,76,65
group E,some college,completed,49,52,51
group C,associate's degree,completed,60,51,56
group D,master's degree,none,80,80,72
group E,some high school,completed,81,75,76
group D,high school,none,46,34,36
group B,high school,none,60,72,68
group C,high school,completed,60,64,74
group E,high school,none,99,93,90
group B,some college,none,69,54,55
group B,some high school,none,74,63,57
group C,bachelor's degree,completed,51,72,79
group D,high school,completed,78,77,80
group C,high school,none,35,53,46
group D,master's degree,none,73,70,75
group D,master's degree,completed,70,71,74
group E,some high school,none,32,34,38
group B,high school,none,38,60,50
group B,master's degree,none,49,53,52
group C,associate's degree,none,54,61,58
group C,associate's degree,none,97,93,91
group E,associate's degree,none,72,57,62
group C,some high school,completed,76,87,85
group B,high school,completed,67,80,81
